Silhouette, Intersection, Bounding
53640.26953125,4567.242578125,0.0,
48930.57421875,4435.565625,0.0,
42920.4140625,2734.846875,0.0,
40278.3515625,1633.2160156250002,0.0,
40253.6953125,1140.07666015625,0.0,
39761.38671875,669.0247558593751,0.0,
38384.46875,492.08095703125,0.0,
36649.53515625,530.778857421875,0.0,
35232.5859375,877.7726562500001,0.0,
34736.2109375,1335.565234375,0.0,
34776.5,1166.6521484375,0.0,
34014.76171875,959.3796875,0.0,
32836.265625,849.07890625,0.0,
32213.15625,710.6129882812501,0.0,
32105.4921875,1063.8537109375,0.0,
32262.73828125,1208.2861328125,0.0,
32074.037109375,1035.68330078125,0.0,
31905.0859375,810.7673828125,0.0,
31673.208984375,453.12460937500003,0.0,
32065.6953125,509.382568359375,0.0,
31906.3515625,497.52866210937503,0.0,
31327.28515625,461.63583984375003,0.0,
30238.23046875,499.69296875000003,0.0,
29150.87109375,486.1234375,0.0,
28647.736328125,621.7897460937501,0.0,
28347.71875,499.6826171875,0.0,
27891.3671875,489.34379882812505,0.0,
27655.16796875,435.56435546875,0.0,
27031.982421875,432.71196289062505,0.0,
26130.939453125,417.75639648437505,0.0,
25549.982421875,326.4796142578125,0.0,
26065.197265625,298.37392578125,0.0,
26198.875,368.954248046875,0.0,
26063.8125,448.993115234375,0.0,
25423.515625,423.919677734375,0.0,
24595.94921875,314.34514160156255,0.0,
24277.05859375,374.9903564453125,0.0,
24124.119140625,396.9385986328125,0.0,
23749.33203125,297.0576416015625,0.0,
22935.595703125,243.4362548828125,0.0,
22532.94921875,208.72805175781252,0.0,
22485.9921875,272.030322265625,0.0,
22392.18359375,370.1654052734375,0.0,
21834.921875,427.09458007812503,0.0,
21424.84765625,505.861328125,0.0,
21111.974609375,423.76982421875005,0.0,
20543.16796875,338.3733642578125,0.0,
20469.529296875,308.9328857421875,0.0,
20463.625,338.08701171875003,0.0,
20207.169921875,305.678515625,0.0,
19731.26953125,167.09645996093752,0.0,
19532.90625,157.11331787109376,0.0,
19496.357421875,226.6337890625,0.0,
19311.81640625,192.92811279296876,0.0,
18822.51171875,133.64805908203127,0.0,
18702.73046875,158.79346923828126,0.0,
18899.8359375,123.56474609375,0.0,
18627.923828125,147.34019775390627,0.0,
18153.78515625,145.0995849609375,0.0,
17757.5703125,162.3001708984375,0.0,
17811.841796875,139.95833740234374,0.0,
17478.400390625,145.51724853515626,0.0,
17154.181640625,208.6769775390625,0.0,
17221.3125,272.0130615234375,0.0,
17139.7421875,240.48642578125,0.0,
16930.671875,227.8751220703125,0.0,
16879.13671875,175.06706542968752,0.0,
16770.263671875,108.68952636718751,0.0,
16630.189453125,101.95027465820313,0.0,
16334.66796875,133.08804931640626,0.0,
16065.291015625,278.20114746093753,0.0,
15965.2236328125,359.09685058593755,0.0,
15857.5595703125,272.7134521484375,0.0,
15788.09375,180.72453613281252,0.0,
15725.0703125,106.42674560546875,0.0,
15519.15625,138.31761474609377,0.0,
15348.92578125,141.68905029296874,0.0,
15100.341796875,172.31380615234377,0.0,
15090.791015625,147.1622314453125,0.0,
14991.765625,142.42601318359377,0.0,
14734.724609375,149.76697998046876,0.0,
14844.984375,107.22802734375,0.0,
14655.900390625,78.8109619140625,0.0,
14560.646484375,108.51394042968751,0.0,
14580.15625,127.27980957031251,0.0,
14321.939453125,131.3397216796875,0.0,
14023.7685546875,150.29293212890624,0.0,
14040.7099609375,137.11121826171876,0.0,
13907.2392578125,131.3520263671875,0.0,
13675.849609375,98.28116455078126,0.0,
13676.431640625,116.9764404296875,0.0,
13551.1826171875,94.10936889648438,0.0,
13363.96484375,93.69257812500001,0.0,
13366.2470703125,106.98333740234375,0.0,
13212.5185546875,77.89452514648438,0.0,
13065.681640625,75.97697143554687,0.0,
13050.4140625,123.240283203125,0.0,
13061.0791015625,50.01848449707032,0.0,
13031.9169921875,45.78197326660157,0.0,
12724.7939453125,55.7454833984375,0.0,
12673.2587890625,73.41061401367188,0.0,
12575.7490234375,64.76171875,0.0,
12480.2998046875,52.4002685546875,0.0,
12458.19921875,54.068841552734376,0.0,
12364.076171875,38.30692138671875,0.0,
12387.2958984375,68.75913696289062,0.0,
12290.251953125,67.17871704101563,0.0,
12241.166015625,53.6447998046875,0.0,
12166.7001953125,44.55067749023438,0.0,
12190.21484375,37.91594543457031,0.0,
11971.603515625,40.95333251953125,0.0,
11880.5966796875,27.866650390625,0.0,
11766.01171875,58.2156982421875,0.0,
11654.486328125,78.93026733398438,0.0,
11631.1796875,65.57547607421876,0.0,
11570.43359375,52.16431274414063,0.0,
11450.05078125,33.72538757324219,0.0,
11562.583984375,41.38985290527344,0.0,
11635.552734375,40.59117126464844,0.0,
11633.86328125,45.90433044433594,0.0,
11595.7880859375,75.14706420898438,0.0,
11455.7763671875,63.54736328125,0.0,
11223.9375,47.73817443847656,0.0,
11191.62109375,60.95540161132813,0.0,
11121.56640625,63.5618896484375,0.0,
11054.8828125,72.53978271484375,0.0,
11026.4033203125,83.40750732421876,0.0,
10995.8095703125,100.29926757812501,0.0,
10948.8369140625,79.0404541015625,0.0,
10985.96484375,96.92128906250001,0.0,
10877.1650390625,67.6536376953125,0.0,
10751.9482421875,54.117651367187506,0.0,
10784.6015625,88.57964477539063,0.0,
10571.21484375,90.6646484375,0.0,
10515.7685546875,102.60579833984376,0.0,
10401.3984375,48.71879272460938,0.0,
10468.36328125,47.106256103515626,0.0,
10370.572265625,40.716860961914065,0.0,
10386.1025390625,35.99841003417969,0.0,
10350.736328125,33.39198303222656,0.0,
10210.5,44.15120239257813,0.0,
10171.619140625,38.272463989257815,0.0,
10066.947265625,55.833471679687506,0.0,
10064.298828125,54.46915893554688,0.0,
9970.28515625,37.68461608886719,0.0,
9906.490234375,27.99013671875,0.0,
9844.759765625,28.228094482421877,0.0,
9902.271484375,20.748924255371094,0.0,
9928.7607421875,26.186386108398438,0.0,
9820.3447265625,19.988441467285156,0.0,
9757.7568359375,22.367242431640626,0.0,
9671.390625,34.79982299804688,0.0,
9575.48828125,60.563305664062504,0.0,
9585.96875,47.771728515625,0.0,
9559.884765625,39.44492797851563,0.0,
9459.2783203125,28.062164306640625,0.0,
9551.138671875,18.230657958984377,0.0,
9492.6787109375,19.38404541015625,0.0,
9441.515625,15.258682250976562,0.0,
9402.8642578125,11.784016418457032,0.0,
9353.6005859375,15.423510742187501,0.0,
9322.30078125,31.43979187011719,0.0,
9286.3876953125,28.271734619140627,0.0,
9330.8671875,26.234292602539064,0.0,
9219.951171875,40.81419982910157,0.0,
9317.474609375,19.04657897949219,0.0,
9207.1796875,16.73760986328125,0.0,
9203.498046875,26.33553161621094,0.0,
9124.3427734375,30.390188598632815,0.0,
9131.1357421875,40.52940673828125,0.0,
9114.984375,20.89016571044922,0.0,
9032.8251953125,20.352821350097656,0.0,
9045.8095703125,25.669384765625,0.0,
8982.6982421875,25.75543212890625,0.0,
8889.26953125,27.42347412109375,0.0,
8926.40625,34.005865478515624,0.0,
8930.611328125,45.492166137695314,0.0,
8845.56640625,36.51213684082031,0.0,
8984.830078125,13.308723449707031,0.0,
8918.322265625,14.02705078125,0.0,
8953.619140625,38.41838073730469,0.0,
8816.5234375,47.768060302734376,0.0,
8747.10546875,32.7709716796875,0.0,
8774.1337890625,29.945779418945314,0.0,
8653.23046875,34.081423950195315,0.0,
8630.60546875,40.07449035644532,0.0,
8564.908203125,36.376641845703126,0.0,
8656.2265625,43.77584228515625,0.0,
8563.2646484375,39.37868347167969,0.0,
8529.6650390625,57.0743408203125,0.0,
8405.4765625,64.03666381835937,0.0,
8474.134765625,48.98743286132813,0.0,
8304.5791015625,34.968466186523436,0.0,
8326.109375,37.648980712890626,0.0,
8300.791015625,42.176126098632814,0.0,
8164.38134765625,35.27590637207032,0.0,
8163.66162109375,27.049905395507814,0.0,
8116.60791015625,36.824713134765624,0.0,
8023.17431640625,32.030328369140626,0.0,
7992.3212890625,37.21794128417969,0.0,
8014.0048828125,33.30607299804688,0.0,
7902.46142578125,35.73489074707032,0.0,
7917.14453125,41.70528869628907,0.0,
7933.49658203125,37.40686950683594,0.0,
7940.57373046875,69.06096801757813,0.0,
8025.796875,45.855383300781256,0.0,
8083.7265625,31.411636352539062,0.0,
7989.40283203125,85.0577880859375,0.0,
7776.54052734375,100.18585205078125,0.0,
7940.341796875,95.20327148437501,0.0,
7812.57080078125,74.33138427734376,0.0,
7677.0517578125,70.94306030273438,0.0,
7829.1982421875,85.11868896484376,0.0,
7562.126953125,93.5426513671875,0.0,
7670.49072265625,85.5270751953125,0.0,
7564.263671875,63.37079467773438,0.0,
7708.78173828125,81.89146728515625,0.0,
7537.2958984375,112.8036865234375,0.0,
7480.314453125,109.36827392578125,0.0,
7660.55078125,76.71710205078125,0.0,
7747.71337890625,49.48215942382813,0.0,
7474.8544921875,50.00130920410157,0.0,
7403.162109375,86.6720458984375,0.0,
7350.12109375,122.74022216796875,0.0,
7272.73486328125,90.60360107421876,0.0,
7434.71044921875,69.53986206054688,0.0,
7205.3095703125,73.18688354492188,0.0,
7114.4716796875,90.71833496093751,0.0,
7014.04736328125,53.286450195312504,0.0,
7165.43310546875,55.57703247070313,0.0,
7185.7001953125,83.08028564453126,0.0,
7003.96484375,94.60956420898438,0.0,
6958.033203125,115.7740478515625,0.0,
7148.3837890625,71.71070556640625,0.0,
7311.97705078125,53.6579833984375,0.0,
6959.96875,92.485693359375,0.0,
6958.19921875,120.57906494140626,0.0,
7005.13671875,141.60399169921877,0.0,
7010.52783203125,94.43728027343751,0.0,
6971.6396484375,77.04879760742188,0.0,
7059.3388671875,84.083837890625,0.0,
7034.54052734375,71.17826538085937,0.0,
6969.6728515625,73.77891235351562,0.0,
7210.52197265625,70.01829223632812,0.0,
7073.9853515625,57.9763671875,0.0,
7211.75,53.021331787109375,0.0,
6965.630859375,60.208715820312506,0.0,
7427.5908203125,65.31054077148438,0.0,
7089.4599609375,55.213958740234375,0.0,
7109.7353515625,93.50962524414064,0.0,
6900.359375,93.28518676757812,0.0,
7410.1484375,74.53226318359376,0.0,
6796.1630859375,62.3846923828125,0.0,
7070.3037109375,83.58186645507813,0.0,
6991.7294921875,96.89318237304688,0.0,
6785.4150390625,81.81973876953126,0.0,
6976.2900390625,77.09212646484376,0.0,
7173.90283203125,82.27284545898438,0.0,
7048.18798828125,65.79088134765625,0.0,
6915.4736328125,96.44614868164064,0.0,
7147.78515625,112.253271484375,0.0,
6891.8310546875,83.2863037109375,0.0,
7077.3955078125,79.88363647460938,0.0,
6746.8095703125,77.228515625,0.0,
7014.85546875,145.95322265625,0.0,
6607.794921875,69.40039672851563,0.0,
6783.4619140625,47.766726684570315,0.0,
6649.32470703125,26.733618164062502,0.0,
6810.701171875,31.74570007324219,0.0,
6674.3818359375,70.31021728515626,0.0,
6718.8046875,31.04720153808594,0.0,
6674.03369140625,14.519073486328125,0.0,
6611.80126953125,51.84607543945313,0.0,
6666.85546875,77.89815673828126,0.0,
6751.7890625,71.72109985351562,0.0,
6649.263671875,67.70575561523438,0.0,
6644.23193359375,53.90826416015625,0.0,
6568.6064453125,64.26137695312501,0.0,
6627.82275390625,61.73823852539063,0.0,
6631.005859375,59.49017333984375,0.0,
6449.74267578125,66.89271240234375,0.0,
6558.802734375,70.35010375976563,0.0,
6489.7861328125,40.62118835449219,0.0,
6580.236328125,39.338879394531254,0.0,
6576.3359375,41.18021850585938,0.0,
6439.38671875,40.47151794433594,0.0,
6422.31787109375,44.16396179199219,0.0,
6447.25,39.35041809082031,0.0,
6391.09375,53.902929687500006,0.0,
6441.8369140625,40.015872192382815,0.0,
6489.4755859375,49.21355895996094,0.0,
6395.24609375,46.32441711425781,0.0,
6389.43505859375,33.07474365234375,0.0,
6370.5244140625,47.756411743164065,0.0,
6341.677734375,43.14204406738281,0.0,
6429.35888671875,46.78471984863282,0.0,
6352.2724609375,44.93266296386719,0.0,
6420.12939453125,47.678808593750006,0.0,
6380.10009765625,72.65502319335938,0.0,
